"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Sediment (ppmw)","TAN (mgKOH/g)","Salt (ptb)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"PetroChina Blend","PXB","2020-02-09","PXB-134","Edmonton","924","21.5","2.25","5.8","47.5","1.5","2","37.3","96.7","0.07","0.77","0.95","1.34","1.25","1.5","1.9","1.08","0.03","0.08","0.04","0.14","0.03","0.49","0.65","0.96","0.93","1.15","1.48","0.86","0.03","0.08","0.04","0.13","142.2","193.5","261.3","310","352.7","395.6","438.9","499.1","619.8","","","",""
"PetroChina Blend","PXB","2020-01-22","PXB-129","Edmonton","928","20.9","2.47","6.4","","1.7","","41.8","109","0.08","0.89","1.18","1.71","1.59","2.1","2.51","1.51","0.04","0.1","0.06","0.14","0.04","0.56","0.8","1.22","1.18","1.6","1.95","1.19","0.04","0.09","0.06","0.13","","","","","","","","","","","","",""
"PetroChina Blend","PXB","2019-12-01","PXB-118","Edmonton","932.3","20.2","2.68","6.7","","1.72","","41.7","113","0.02","0.88","1.15","1.83","1.8","2.27","2.12","1.3","0.06","0.16","0.06","0.26","0.01","0.55","0.78","1.3","1.33","1.72","1.64","1.02","0.06","0.15","0.06","0.24","","","","","","","","","","","","",""
"PetroChina Blend","PXB","2019-11-09","PXB-114","Edmonton","937.1","19.4","2.85","7.3","88.8","1.87","2.3","49.2","121","0.07","0.77","0.94","1.43","1.36","1.67","1.38","0.77","0.05","0.11","0.04","0.16","0.03","0.48","0.63","1.01","1","1.26","1.06","0.6","0.05","0.1","0.04","0.15","116.2","192.1","267.8","321.1","367.4","414.8","464","532.8","640.8","","","",""
"PetroChina Blend","PXB","2019-10-18","PXB-107","Edmonton","935.6","19.6","2.75","7","","1.86","","48.6","121","0.05","0.91","1.18","1.57","1.5","1.95","2.14","1.33","0.02","0.06","0.03","0.11","0.02","0.57","0.79","1.11","1.1","1.47","1.65","1.04","0.02","0.06","0.03","0.1","","","","","","","","","","","","",""
"PetroChina Blend","PXB","2019-09-03","PXB-100","Edmonton","936.8","19.4","2.74","7.7","","1.86","","46.3","118","0.02","0.58","0.75","1.12","1.06","1.41","1.4","0.84","0.03","0.08","0.03","0.14","0.01","0.36","0.5","0.79","0.78","1.06","1.08","0.66","0.03","0.07","0.03","0.13","","","","","","","","","","","","",""
"PetroChina Blend","PXB","2019-07-05","PXB-086","Edmonton","934.5","19.8","2.71","6.9","","1.92","","45.9","117","0.05","0.8","1.25","1.65","1.56","1.94","1.79","0.96","0.03","0.1","0.05","0.17","0.02","0.5","0.84","1.17","1.15","1.47","1.38","0.75","0.03","0.09","0.05","0.16","","","","","","","","","","","","",""
"PetroChina Blend","PXB","2019-06-08","PXB-087","Edmonton","928.7","20.7","2.61","6.5","","1.81","","42.9","113","0.05","0.84","1.14","1.6","1.58","2.26","2.55","1.53","0.02","0.07","0.06","0.2","0.02","0.53","0.77","1.14","1.17","1.72","1.98","1.21","0.02","0.07","0.06","0.19","","","","","","","","","","","","",""
"PetroChina Blend","PXB","2019-05-03","PXB-082","Edmonton","926.4","21.1","2.51","6.2","38.6","1.65","2.4","38.1","103","0.05","0.76","1.05","1.47","1.51","2.05","2.09","1.33","0.04","0.12","0.06","0.22","0.02","0.48","0.71","1.05","1.12","1.56","1.63","1.05","0.04","0.11","0.06","0.21","140.7","195","264.1","313.1","356.2","400.6","449.5","528.6","676.5","","","",""
"PetroChina Blend","PXB","2019-04-07","PXB-076","Edmonton","929.4","20.6","2.53","6.4","","1.75","","43.5","109","0.05","0.54","0.88","1.27","1.31","1.87","1.92","1.31","0.01","0.09","0.05","0.21","0.02","0.34","0.6","0.91","0.97","1.42","1.49","1.03","0.01","0.08","0.05","0.2","","","","","","","","","","","","",""
