"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Sediment (ppmw)","TAN (mgKOH/g)","Salt (ptb)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Western Canada Dilbit","WDB","2020-01-09","WDB-809","Superior","919","22.3","3.85","10.3","","1.68","","66.1","162","0.05","1.21","9.6","6","3.53","2.21","1.3","0.56","0.15","0.23","0.01","0.19","0.03","0.77","6.56","4.33","2.64","1.7","1.02","0.45","0.14","0.22","0.01","0.18","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2019-12-14","WDB-777","Superior","920.6","22.1","3.74","10.4","133.9","1.85","3.7","61.4","155","0.05","1.37","7.12","4.7","2.87","1.93","1.15","0.49","0.12","0.21","0.02","0.2","0.03","0.87","4.86","3.39","2.14","1.48","0.9","0.39","0.12","0.2","0.02","0.19","38.1","77.6","251","345.8","411.4","477.9","552.6","631.3","715.1","","","",""
"Western Canada Dilbit","WDB","2019-11-10","WDB-987","Superior","924.7","21.4","3.97","10.3","","1.86","","60","158","0.05","1.26","8.32","5.55","3.39","2.17","1.13","0.59","0.2","0.34","0.04","0.33","0.03","0.8","5.65","3.98","2.52","1.66","0.88","0.47","0.19","0.32","0.04","0.31","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2019-10-06","WDB-728","Superior","931.2","20.3","3.95","10","","1.92","","53.1","152","0.04","0.97","6.66","4.88","3.13","2.29","1.16","0.55","0.16","0.3","0.05","0.33","0.02","0.61","4.49","3.48","2.31","1.74","0.9","0.43","0.15","0.28","0.05","0.31","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2019-09-03","WDB-603","Superior","933.7","19.9","4.11","9.9","147.8","1.74","10.1","68.5","155","0.06","1.23","6.75","4.69","3.15","2.41","1.51","0.78","0.15","0.27","0.04","0.28","0.03","0.77","4.54","3.33","2.32","1.82","1.17","0.61","0.14","0.25","0.04","0.26","49.5","113.7","265.3","345.1","412.7","475.1","546.7","627.1","714.4","","","",""
"Western Canada Dilbit","WDB","2019-08-15","WDB-749","Superior","929.1","20.7","3.97","10.6","","1.91","","60","162","0.06","1.05","7.6","5.11","3.37","2.47","1.38","0.66","0.16","0.33","0.05","0.33","0.03","0.66","5.14","3.65","2.49","1.88","1.07","0.52","0.15","0.31","0.05","0.31","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2019-07-05","WDB-873","Superior","926.3","21.1","3.8","10.2","","1.93","","61.4","159","0.05","1.63","7.34","4.73","3.06","2.23","1.26","0.66","0.14","0.28","0.04","0.29","0.03","1.02","4.98","3.39","2.27","1.7","0.98","0.52","0.13","0.26","0.04","0.27","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2019-06-24","WDB-871","Superior","926","21.2","3.87","9.8","174.4","2.03","6.5","57.9","150","0.04","0.91","7.15","4.76","2.65","1.76","1.08","0.52","0.13","0.21","0.03","0.18","0.02","0.57","4.85","3.41","1.97","1.34","0.84","0.41","0.12","0.2","0.03","0.17","39.2","84.3","234.5","330.9","401.1","466.9","542","627","713.4","","","",""
"Western Canada Dilbit","WDB","2019-05-23","WDB-855","Superior","921.2","22","3.82","10.2","","1.8","","58","163","0.05","1.1","8.86","5.57","3.35","2.13","1.17","0.57","0.17","0.25","0.02","0.19","0.03","0.7","6.04","4.01","2.5","1.63","0.92","0.45","0.16","0.24","0.02","0.18","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2019-04-03","WDB-757","Superior","920.5","22.1","3.88","10.4","","1.86","","62.9","157","0.04","1.41","8.8","5.94","3.86","2.75","1.43","0.68","0.19","0.37","0.05","0.37","0.02","0.89","6.01","4.28","2.88","2.11","1.12","0.54","0.18","0.35","0.05","0.35","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2019-03-02","WDB-787","Superior","920.9","22","3.89","10.3","187.2","1.89","6.5","62.6","159","0.04","0.99","6.95","4.68","3.07","2.11","0.93","0.57","0.17","0.31","0.03","0.32","0.02","0.63","4.74","3.37","2.29","1.62","0.73","0.45","0.16","0.29","0.03","0.3","36.7","71.4","199.6","320.5","396","460.3","530.7","612.5","702.3","","","",""
"Western Canada Dilbit","WDB","2019-02-15","WDB-717","Superior","917.7","22.6","3.75","10","","1.65","","60.8","163","0.07","1.08","7.91","5.27","3.47","2.4","1.23","0.6","0.19","0.37","0.05","0.35","0.04","0.69","5.41","3.81","2.6","1.85","0.97","0.48","0.18","0.35","0.05","0.33","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2019-01-03","WDB-648","Superior","919","22.3","3.75","9.7","","1.92","","63.4","159","0.09","1.45","7.44","5.44","3.86","2.9","1.61","0.85","0.2","0.42","0.06","0.45","0.05","0.92","5.08","3.93","2.89","2.23","1.26","0.68","0.19","0.4","0.06","0.42","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2018-12-02","WDB-938","Superior","926","21.2","3.77","10.2","197.5","1.95","7.9","52","147","0.07","1.45","6.79","5.29","3.84","3.16","1.87","0.93","0.18","0.39","0.07","0.46","0.04","0.91","4.6","3.79","2.85","2.41","1.46","0.74","0.17","0.37","0.07","0.43","44.6","99.4","240.5","338.8","409.8","473.2","546.1","629.3","715.1","","","",""
"Western Canada Dilbit","WDB","2018-11-08","WDB-695","Superior","927.2","21","3.87","10","","1.91","","59.4","158","0.09","1.08","7.5","5.42","3.71","2.7","1.38","0.68","0.19","0.38","0.05","0.42","0.05","0.68","5.08","3.88","2.75","2.06","1.07","0.54","0.18","0.36","0.05","0.39","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2018-10-03","WDB-818","Superior","933.3","20","4.18","10.1","","2.12","","57.1","149","0.04","0.64","3.76","2.94","2.21","1.73","1.07","0.47","0.11","0.24","0.04","0.26","0.02","0.4","2.53","2.09","1.63","1.31","0.83","0.37","0.1","0.22","0.04","0.24","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2018-09-01","WDB-800","Superior","930.9","20.4","3.95","10.6","105.1","2.01","7.2","67.1","170","0.07","0.94","7.64","5.25","3.47","2.39","1.33","0.7","0.19","0.4","0.05","0.4","0.04","0.59","5.15","3.74","2.56","1.81","1.03","0.55","0.18","0.37","0.05","0.37","43.6","91.4","250.9","339.7","407.2","468.8","539.9","620.6","701.4","","","",""
"Western Canada Dilbit","WDB","2018-08-04","WDB-603","Superior","930.6","20.4","4.02","10.4","","2.06","","64.2","163","0.06","1.02","7.68","5.36","3.52","2.53","1.41","0.65","0.19","0.37","0.05","0.39","0.03","0.64","5.19","3.82","2.6","1.92","1.09","0.51","0.18","0.35","0.05","0.36","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2018-07-04","WDB-751","Superior","925.5","21.3","3.81","10.1","","1.81","","58.8","156","0.14","1.15","8.13","5.69","3.82","2.8","1.53","0.77","0.2","0.4","0.05","0.44","0.07","0.73","5.52","4.08","2.84","2.14","1.19","0.61","0.19","0.38","0.05","0.41","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2018-06-04","WDB-977","Superior","921.4","21.9","3.91","10.3","87.3","2.03","4","64.3","170","0.07","1.1","9.52","6.21","3.95","2.84","1.56","0.67","0.2","0.32","0.05","0.28","0.04","0.7","6.49","4.47","2.95","2.18","1.22","0.53","0.19","0.3","0.05","0.26","39.8","97","243.2","342.1","411.5","478.4","555.5","637.9","719.5","","","",""
"Western Canada Dilbit","WDB","2018-05-08","WDB-953","Superior","916","22.8","3.78","9.9","","2.21","","58.1","152","0.07","1.27","10.36","6.14","3.49","2.3","1.28","0.6","0.18","0.26","0.03","0.21","0.04","0.81","7.1","4.45","2.62","1.77","1.01","0.48","0.17","0.25","0.03","0.2","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2018-04-01","WDB-920","Superior","917.4","22.6","3.86","9.9","","1.91","","58.7","151","0.07","1.17","9.06","6.02","4.11","2.94","1.49","0.64","0.2","0.37","0.05","0.32","0.04","0.75","6.2","4.35","3.08","2.26","1.17","0.51","0.19","0.35","0.05","0.3","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2018-03-03","WDB-656","Superior","919.1","22.3","3.93","10.1","146.1","1.6","8.1","61.3","153","0.09","1.02","8.45","5.76","3.8","2.54","1.36","0.73","0.22","0.42","0.05","0.42","0.05","0.65","5.77","4.16","2.84","1.95","1.07","0.58","0.21","0.4","0.05","0.4","38.7","68.2","227.1","326.1","399.8","466.5","543.3","629.7","715.4","","","",""
"Western Canada Dilbit","WDB","2018-02-03","WDB-814","Superior","917.4","22.6","3.74","10.1","","1.79","","56.6","153","0.07","1.2","8.5","6.04","4.14","3.03","1.63","0.66","0.22","0.42","0.07","0.43","0.04","0.76","5.82","4.37","3.1","2.33","1.28","0.53","0.21","0.4","0.07","0.41","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2018-01-02","WDB-693","Superior","919.2","22.3","3.68","10.4","","1.9","","58.9","157","0.07","1.34","9","6.08","3.97","2.95","1.67","0.84","0.2","0.38","0.07","0.41","0.04","0.85","6.15","4.39","2.97","2.27","1.31","0.67","0.19","0.36","0.07","0.39","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2017-12-06","WDB-723","Superior","922.6","21.7","3.8","10.2","","2.04","","63","165","0.05","1.05","9.03","6.2","3.87","2.53","1.23","0.55","0.22","0.39","0.05","0.38","0.03","0.67","6.15","4.46","2.88","1.94","0.96","0.44","0.21","0.37","0.05","0.36","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2017-12-04","WDB-722","Superior","921.3","22","3.83","10.4","145.9","1.94","4","65.6","169","0.09","1.12","9.55","6.3","3.89","2.49","1.21","0.55","0.23","0.41","0.05","0.39","0.05","0.71","6.51","4.54","2.9","1.91","0.95","0.44","0.22","0.39","0.05","0.37","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2017-11-06","WDB-651","Superior","926.9","21","3.84","9.3","","1.73","","60.9","162","0.05","1.13","8.22","5.2","3.21","2.11","1.19","0.52","0.15","0.23","0.03","0.2","0.03","0.71","5.57","3.72","2.38","1.61","0.93","0.41","0.14","0.22","0.03","0.19","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2017-11-04","WDB-650","Superior","925.6","21.2","3.8","11.1","144.4","1.81","5.3","60.2","164","0.04","1.09","8.74","5.61","3.37","2.32","1.36","0.61","0.15","0.22","0.03","0.2","0.02","0.69","5.93","4.02","2.5","1.77","1.06","0.48","0.14","0.21","0.03","0.19","40.5","80.1","238.3","339.9","411.8","477.1","554.7","639.4","717.2","","","",""
"Western Canada Dilbit","WDB","2017-10-18","WDB-641","Superior","927.1","21","4","10.4","","1.64","","65.6","169","0.05","0.89","8.1","5.14","3.2","2.15","1.18","0.54","0.16","0.27","0.03","0.24","0.03","0.56","5.49","3.68","2.37","1.64","0.92","0.43","0.15","0.25","0.03","0.22","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2017-10-15","WDB-630","Superior","928","20.9","4","10.2","173.3","1.68","7.1","61.2","157","0.05","1.43","8.21","5.5","3.46","2.55","1.56","0.73","0.17","0.29","0.05","0.28","0.03","0.9","5.56","3.93","2.56","1.94","1.21","0.58","0.16","0.27","0.05","0.26","37.5","74.8","208","321.8","396","461.8","536.6","620.8","701","","","",""
