"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Nickel (mg/kg)","Vanadium (mg/kg)","Olefins (wt%)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Mixed Sweet Blend","MSW","2016-03-11","MSW-952","Edmonton","826.9","39.5","0.41","1.8","","","","0.48","4.75","4","6.17","8.02","6.25","3.42","","0.25","0.85","0.22","1.13","0.29","3.35","3.04","4.95","6.66","5.34","2.98","-","0.27","0.9","0.23","1.18","36.1","68.7","117.7","159.1","217.5","271.2","323.3","380.1","441.8","524.5","588.8","668.2",""
"Mixed Sweet Blend","MSW","2016-02-03","MSW-883","Edmonton","822.6","40.4","0.47","1.9","6","13","","0.41","4.52","3.73","5.8","7.36","5.81","3.16","","0.23","0.76","0.2","1.03","0.25","3.21","2.85","4.68","6.15","4.99","2.77","-","0.25","0.81","0.21","1.09","36.1","71.8","124.1","166.4","221.6","276","330.4","389.8","453.5","542.5","608.4","690.4",""
"Mixed Sweet Blend","MSW","2016-01-12","MSW-724","Edmonton","821.4","40.6","0.47","1.9","","","","0.46","4.82","4.34","6.02","7.32","5.83","3.22","","0.22","0.69","0.2","0.99","0.28","3.42","3.32","4.86","6.13","5.01","2.83","-","0.24","0.73","0.21","1.05","27.8","68.7","118.5","162.3","220.7","278.9","336.8","401.8","470.8","573.5","661","",""
"Mixed Sweet Blend","MSW","2016-01-05","MSW-730","Edmonton","818.6","41.2","0.44","1.6","5","13","","0.52","4.85","4.02","6.22","7.92","6.23","3.34","","0.24","0.82","0.2","1.16","0.32","3.46","3.09","5.04","6.65","5.38","2.94","-","0.26","0.87","0.21","1.23","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2015-12-03","MSW-755","Edmonton","817.5","41.4","0.42","1.8","6","11","","0.7","4.72","4.43","6.69","7.86","7.68","5.53","2.64","0.3","0.9","0.24","1.18","0.42","3.37","3.41","5.43","6.61","6.64","4.88","2.37","0.32","0.96","0.26","1.25","49","92.7","136.8","185.6","240.5","295.3","350.5","412.6","481.9","585.3","672.1","",""
"Mixed Sweet Blend","MSW","2015-11-04","MSW-980","Edmonton","818.1","41.3","0.41","1.7","4","9","","0.49","4.63","3.82","6.47","7.89","7.53","5.35","2.59","0.31","0.99","0.23","1.19","0.3","3.3","2.93","5.25","6.63","6.5","4.72","2.32","0.33","1.05","0.24","1.26","50.4","81.8","131","176.3","229","285.1","341.5","405.6","477","587.2","688.4","",""
"Mixed Sweet Blend","MSW","2015-10-04","MSW-901","Edmonton","819.7","41","0.47","2","5","12","","0.54","4.73","3.49","5.68","7.02","7.07","5.85","2.4","0.19","0.57","0.2","0.73","0.32","3.36","2.68","4.6","5.89","6.1","5.15","2.15","0.2","0.61","0.21","0.77","35.4","69.8","124.8","174.1","232.8","289.5","345.7","409.5","478.1","579.7","661","",""
"Mixed Sweet Blend","MSW","2015-09-01","MSW-853","Edmonton","816.2","41.7","0.48","1.8","6","13","ND","0.53","4.59","4.34","6.68","8.05","8.1","6.45","2.47","0.28","0.89","0.23","1.14","0.32","3.28","3.34","5.43","6.78","7.01","5.7","2.22","0.3","0.95","0.25","1.21","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2015-08-25","MSW-808","Edmonton","823.2","40.2","0.42","1.8","5","9","","0.48","4.42","3.87","5.77","7.03","7.3","5.96","2.42","0.24","0.76","0.24","1.04","0.29","3.13","2.95","4.65","5.87","6.26","5.22","2.16","0.26","0.8","0.25","1.1","49.6","94.9","139.7","189.7","244.8","298.2","352.8","414.1","485","596.7","711.8","",""
"Mixed Sweet Blend","MSW","2015-07-03","MSW-783","Edmonton","815","42","0.4","1.7","5","10","","0.55","4.54","4.95","7.38","8.79","8.13","5.82","2.6","0.34","1.08","0.23","1.26","0.33","3.25","3.81","6.01","7.41","7.04","5.15","2.34","0.37","1.15","0.25","1.34","47.4","79.7","118","165.7","223.5","281.9","339.9","405.5","478.7","588.8","690.9","",""
"Mixed Sweet Blend","MSW","2015-06-02","MSW-959","Edmonton","820.1","40.9","0.35","1.3","3","7","","0.38","3.76","4.7","7.17","8.33","7.69","5.34","2.68","0.33","1.06","0.24","1.3","0.23","2.67","3.6","5.8","6.98","6.62","4.7","2.4","0.36","1.13","0.25","1.37","46.6","79.5","123.9","172.9","231.4","285.3","337","395.7","462.1","569.1","672.3","",""
"Mixed Sweet Blend","MSW","2015-05-03","MSW-851","Edmonton","822.9","40.3","0.4","1.9","6","12","","0.51","4.3","3.77","6.18","7.98","8.11","6.57","2.81","0.23","0.85","0.24","1.03","0.31","3.05","2.88","4.98","6.66","6.96","5.76","2.5","0.25","0.9","0.25","1.09","43.8","90.8","127.4","172.8","228.4","285.3","341","398.3","476","577.2","654.3","",""
"Mixed Sweet Blend","MSW","2015-04-05","MSW-737","Edmonton","812.5","42.5","0.36","1.6","4","8","","0.55","4.43","3.78","6.28","7.64","7.26","5.47","2.34","0.26","0.79","0.21","1.04","0.33","3.18","2.92","5.13","6.47","6.31","4.86","2.11","0.28","0.85","0.23","1.11","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2015-03-02","MSW-862","Edmonton","822.4","40.4","0.5","2.1","7","16","","0.46","4.34","3.32","5.85","7.58","7.58","6","2.55","0.23","0.8","0.24","1","0.28","3.08","2.54","4.72","6.34","6.51","5.26","2.27","0.25","0.85","0.25","1.05","44.1","78.4","133.4","185.6","243.2","299.5","359.2","425","504.1","636.1","","",""
"Mixed Sweet Blend","MSW","2015-02-17","MSW-903","Edmonton","813.4","42.3","0.37","1.7","4","8","","0.53","4.41","3.22","5.97","7.85","8.11","6.64","2.89","0.25","0.86","0.27","1.24","0.32","3.16","2.49","4.87","6.63","7.04","5.89","2.61","0.27","0.92","0.29","1.32","46.9","85.7","132","180","235.7","290.4","344.4","406.8","475","576","662.1","",""
"Mixed Sweet Blend","MSW","2015-01-19","MSW-707","Edmonton","820.7","40.8","0.39","1.7","5","10","","0.72","5.01","3.82","5.91","6.95","6.81","5.81","2.36","0.23","0.62","0.17","0.63","0.43","3.56","2.93","4.78","5.82","5.86","5.11","2.11","0.25","0.66","0.18","0.67","47","88","132.2","184.4","242.2","297.7","353.6","416.2","485.3","587.7","674","",""
"Mixed Sweet Blend","MSW","2014-12-09","MSW-844","Edmonton","822.1","40.5","0.31","1.8","4","5","","0.87","5.05","3.74","6.1","7.25","7.18","5.46","2.42","0.25","0.71","0.23","0.97","0.52","3.58","2.86","4.92","6.06","6.17","4.79","2.16","0.27","0.75","0.24","1.02","44.1","85.7","133.9","189.2","246.4","300.9","359","421","492.1","597","693.8","",""
"Mixed Sweet Blend","MSW","2014-11-13","MSW-672","Edmonton","822.4","40.4","0.46","1.9","6","13","","0.75","4.87","3.91","6.07","6.94","6.67","4.96","2.06","0.27","0.74","0.22","0.94","0.45","3.45","2.99","4.9","5.8","5.73","4.35","1.84","0.29","0.78","0.23","0.99","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2014-10-10","MSW-684","Edmonton","823.8","40.1","0.41","2.1","6","11","","0.57","4.62","3.31","4.99","6.17","6.52","5.32","2.15","0.17","0.58","0.23","0.83","0.35","3.27","2.52","4.02","5.15","5.59","4.66","1.91","0.18","0.61","0.24","0.87","34.6","69.9","117.7","174","235","294","353.6","419.9","494.9","616.5","","",""
"Mixed Sweet Blend","MSW","2014-09-10","MSW-742","Edmonton","819.5","41","0.41","1.7","4","8","ND","0.62","4.51","3.76","6.11","7.69","7.59","5.62","2.48","0.25","0.87","0.23","1.15","0.37","3.21","2.88","4.95","6.45","6.54","4.95","2.22","0.27","0.93","0.24","1.22","45.7","102.2","141","194.1","252.3","308.5","363.2","427.1","507.5","633.3","","",""
"Mixed Sweet Blend","MSW","2014-08-15","MSW-641","Edmonton","833.9","38","0.41","1.7","4","8","","0.7","4.26","3.58","5.98","7.36","7.32","5.45","2.58","0.24","0.73","0.21","0.95","0.41","2.98","2.7","4.76","6.06","6.2","4.71","2.27","0.25","0.76","0.22","0.99","57.8","97.6","140.5","192.3","248.2","301.9","355.6","415","486.3","587","675.2","",""
"Mixed Sweet Blend","MSW","2014-07-29","MSW-963","Edmonton","820.5","40.8","0.43","1.7","4","10","","0.62","4.19","3.42","6.08","7.65","7.49","5.27","2.7","0.29","0.93","0.24","1.16","0.37","2.98","2.62","4.92","6.41","6.45","4.63","2.41","0.31","0.99","0.25","1.23","47.1","90.6","139","190.2","248.3","303.3","361.1","423.8","499.6","619.6","","",""
"Mixed Sweet Blend","MSW","2014-06-12","MSW-952","Edmonton","822.1","40.5","0.4","2.1","6","11","","0.67","4.6","3.41","5.8","7.15","7.32","5.64","2.39","0.24","0.74","0.24","1.06","0.4","3.26","2.61","4.68","5.98","6.29","4.95","2.13","0.26","0.78","0.25","1.12","35.9","78","129.5","186","247.1","305.1","366.8","433.1","515.6","661.7","","",""
"Mixed Sweet Blend","MSW","2014-05-31","MSW-853","Edmonton","820.9","40.7","0.32","1.8","4","6","","0.41","3.48","2.76","4.84","6.12","6.31","4.81","2.11","0.28","0.84","0.27","1.11","0.25","2.48","2.11","3.91","5.13","5.43","4.23","1.89","0.3","0.89","0.29","1.17","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2014-04-24","SW-672","Edmonton","822.7","40.4","0.36","1.8","4","7","","0.77","4.7","3.65","5.94","7.05","6.96","5.17","2.27","0.25","0.74","0.23","0.97","0.46","3.33","2.79","4.79","5.89","5.98","4.54","2.02","0.27","0.78","0.24","1.02","35.3","83.8","107","161.2","217.2","275.2","334","396.9","471.6","572.2","649.5","",""
"Mixed Sweet Blend","MSW","2014-03-28","SW-794","Edmonton","825.9","39.7","0.42","1.9","4","8","ND","0.69","4.87","3.46","5.73","6.86","6.77","5.09","2.18","0.24","0.71","0.23","0.94","0.41","3.44","2.63","4.6","5.71","5.79","4.44","1.93","0.26","0.75","0.24","0.99","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2014-02-01","SW-900","Edmonton","822.6","40.4","0.36","1.9","4","8","","0.72","4.71","3.22","5.46","6.61","6.28","4.5","1.88","0.23","0.7","0.2","0.87","0.43","3.34","2.46","4.41","5.53","5.39","3.95","1.68","0.25","0.74","0.21","0.92","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2013-12-17","SW-866","Edmonton","825.4","39.8","0.37","1.6","","","","0.48","4.4","3.24","6.02","7.44","7.06","4.99","2.26","0.26","0.87","0.23","1.08","0.29","3.11","2.47","4.84","6.2","6.04","4.36","2.01","0.28","0.92","0.24","1.13","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2013-12-01","SW-892","Edmonton","824.9","39.9","0.38","1.7","4","6","","0.6","4.9","3.5","5.94","7.13","6.82","4.79","2.19","0.26","0.8","0.22","1.01","0.36","3.46","2.66","4.78","5.94","5.84","4.19","1.95","0.28","0.84","0.23","1.06","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2013-11-20","SW-646","Edmonton","824.9","39.9","0.44","1.8","","","","0.52","4.7","3.37","5.73","6.98","6.8","5.05","2.33","0.22","0.71","0.21","0.89","0.32","3.32","2.57","4.61","5.81","5.82","4.41","2.07","0.24","0.75","0.22","0.94","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2013-11-01","SW-666","Edmonton","823.9","40.1","0.35","1.6","3","6","","0.64","4.84","3.44","5.81","7.11","6.85","5.01","2.29","0.22","0.73","0.21","0.92","0.38","3.42","2.62","4.68","5.93","5.87","4.38","2.04","0.24","0.77","0.22","0.97","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2013-10-17","SW-945","Edmonton","827.1","39.4","0.38","1.7","","","","0.46","4.21","3.08","5.57","7.04","6.9","5.14","2.23","0.22","0.75","0.21","0.91","0.28","2.97","2.34","4.47","5.85","5.89","4.48","1.98","0.24","0.79","0.22","0.95","38.2","87.6","123.1","178.7","243.6","302.1","364.1","428.8","512","650.2","","",""
"Mixed Sweet Blend","MSW","2013-10-01","SW-752","Edmonton","824","40.1","0.36","1.8","4","7","","0.43","3.92","3.06","5.7","7.3","7.26","5.46","2.38","0.24","0.75","0.23","0.94","0.26","2.77","2.33","4.59","6.09","6.22","4.78","2.12","0.26","0.79","0.24","0.99","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2013-09-03","SW-764","Edmonton","821.2","40.7","0.35","1.6","4","8","","0.26","2.68","2.41","5.29","7.9","8.8","7.21","3.47","0.23","0.91","0.27","1.36","0.16","1.91","1.84","4.27","6.61","7.57","6.33","3.1","0.25","0.97","0.29","1.44","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2013-09-01","SW-974","Edmonton","825.9","39.7","0.36","1.6","","","","0.23","2.42","2.59","5.65","8.34","9.37","7.79","3.83","0.23","0.94","0.29","1.45","0.14","1.71","1.97","4.54","6.94","8.01","6.8","3.4","0.25","0.99","0.31","1.52","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2013-08-03","SW-905","Edmonton","820.4","40.8","0.34","1.6","3","5","","0.49","3.8","3.48","6.27","8.26","8.69","6.69","3.23","0.3","1.03","0.29","1.41","0.29","2.7","2.67","5.07","6.92","7.48","5.88","2.89","0.32","1.09","0.31","1.49","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2013-08-02","SW-620","Edmonton","822.4","40.4","0.35","1.7","","","","0.47","4.33","3.52","6.09","7.47","7.23","5.1","2.32","0.27","0.88","0.24","1.1","0.29","3.07","2.69","4.91","6.24","6.21","4.47","2.07","0.29","0.93","0.25","1.16","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2013-07-01","SW-619","Edmonton","824.4","40","0.38","1.8","4","9","","0.51","4.55","3.83","6.24","7.58","7.18","5.03","2.26","0.29","0.89","0.23","1.09","0.31","3.23","2.92","5.02","6.32","6.15","4.4","2.01","0.31","0.94","0.24","1.15","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2013-07-01","SW-769","Edmonton","827.2","39.4","0.4","2","","","","0.53","4.49","3.77","5.97","7.26","7.17","5.31","2.43","0.27","0.81","0.25","1.05","0.32","3.17","2.86","4.79","6.03","6.12","4.63","2.15","0.29","0.85","0.26","1.1","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2013-06-01","SW-615","Edmonton","830.5","38.7","0.36","1.8","4","6","","0.61","4.65","3.47","5.26","6.54","6.49","4.84","2.23","0.23","0.68","0.22","0.91","0.36","3.27","2.62","4.2","5.41","5.52","4.21","1.97","0.24","0.71","0.23","0.95","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2013-06-01","SW-650","Edmonton","824.9","39.9","0.42","1.6","","","","0.64","3.97","3.74","6.01","7.31","7.12","5.2","2.4","0.27","0.8","0.23","1.07","0.38","2.81","2.85","4.83","6.09","6.09","4.55","2.13","0.29","0.84","0.24","1.12","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2013-05-01","SW-730","Edmonton","829.5","38.9","0.36","1.8","4","4","","0.66","3.88","3.34","5.36","6.5","6.62","5.25","2.27","0.23","0.67","0.23","0.91","0.39","2.73","2.53","4.29","5.39","5.64","4.57","2.01","0.25","0.7","0.24","0.95","44.1","99.1","132.9","193.8","260.2","322.6","391.8","465.2","572.7","","","",""
"Mixed Sweet Blend","MSW","2013-05-01","SW-730-1","Edmonton","830.2","38.8","0.34","1.8","","","","0.61","3.51","3.23","5.29","6.39","6.42","5.03","2.21","0.22","0.65","0.22","0.88","0.36","2.47","2.44","4.23","5.29","5.46","4.37","1.95","0.23","0.68","0.23","0.92","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2013-04-02","SW-802","Edmonton","812.9","42.4","0.37","1.6","","","","0.53","4.24","7.19","8.09","8.02","7.07","5.36","2.38","0.38","0.95","0.23","1.09","0.32","3.05","5.55","6.6","6.78","6.14","4.75","2.15","0.41","1.02","0.25","1.16","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2013-04-01","SW-824","Edmonton","827.8","39.3","0.4","1.9","4","8","","0.43","4.06","3.24","5.37","6.65","6.64","5.38","2.29","0.22","0.67","0.23","0.91","0.26","2.87","2.46","4.3","5.52","5.66","4.69","2.03","0.23","0.7","0.24","0.95","36.8","91.2","117.9","166.3","220.2","275.4","330.5","391.3","454.5","538.4","603.4","",""
"Mixed Sweet Blend","MSW","2013-03-01","SW-977","Edmonton","830.1","38.8","0.46","1.8","4","9","ND","0.16","1.96","2.28","5.23","7.86","8.91","7.26","3.5","0.27","0.93","0.32","1.28","0.1","1.38","1.73","4.18","6.51","7.58","6.31","3.09","0.29","0.98","0.34","1.34","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2013-03-01","SW-985","Edmonton","826.5","39.6","0.42","1.7","","","","0.11","1.88","2.08","5.21","8.02","8.79","7.13","3.52","0.25","0.96","0.3","1.32","0.07","1.33","1.58","4.18","6.67","7.51","6.22","3.12","0.27","1.01","0.32","1.39","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2013-02-02","SW-776","Edmonton","833.8","38","0.44","1.9","","","","0.45","4.74","3.08","5.4","6.76","6.48","4.92","2.21","0.22","0.71","0.21","0.9","0.27","3.31","2.32","4.29","5.57","5.49","4.25","1.94","0.23","0.74","0.22","0.94","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2013-02-01","SW-926","Edmonton","829.8","38.9","0.46","2","5","15","","0.57","4.77","3.13","5.54","6.88","6.7","5.13","2.27","0.23","0.71","0.22","0.93","0.34","3.35","2.37","4.43","5.7","5.7","4.46","2.01","0.24","0.74","0.23","0.97","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2013-01-02","SW-815","Edmonton","827.6","39.3","0.41","1.9","","","","0.54","4.21","3.28","5.48","6.71","6.69","5.12","2.34","0.22","0.67","0.23","0.89","0.33","2.97","2.49","4.39","5.58","5.71","4.46","2.07","0.24","0.71","0.24","0.93","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2013-01-01","SW-613","Edmonton","827.8","39.3","0.38","1.8","3","8","","0.49","4.31","2.99","5.52","6.97","6.71","4.92","2.26","0.22","0.74","0.21","0.94","0.3","3.03","2.27","4.42","5.78","5.72","4.28","2","0.23","0.78","0.22","0.98","35.7","78.1","125.5","179.5","242.5","299.2","355.9","417.7","485.9","587.2","668.3","",""
"Mixed Sweet Blend","MSW","2012-12-02","SW-851","Edmonton","828.3","39.2","0.41","1.7","","","","0.49","4.2","3.02","5.27","6.59","6.72","5.67","2.36","0.2","0.64","0.22","0.86","0.3","2.96","2.29","4.22","5.47","5.73","4.94","2.09","0.21","0.67","0.23","0.9","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2012-12-02","SW-900","Edmonton","828.2","39.2","0.37","1.7","3","6","","0.49","4.14","3.08","5.37","6.7","6.67","5.42","2.22","0.2","0.66","0.21","0.87","0.3","2.91","2.34","4.3","5.56","5.69","4.72","1.97","0.21","0.69","0.22","0.91","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2012-11-02","SW-893","Edmonton","825.3","39.8","0.45","2","","","","0.6","4.59","3.06","5.29","6.72","6.86","5.57","2.55","0.26","0.73","0.24","0.96","0.36","3.24","2.33","4.25","5.6","5.87","4.87","2.27","0.28","0.77","0.25","1.01","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2012-11-01","SW-744","Edmonton","829.7","38.9","0.37","2","4","6","","0.48","4.35","2.83","5.23","6.77","6.84","5.58","2.61","0.22","0.7","0.22","0.94","0.29","3.06","2.14","4.18","5.61","5.83","4.85","2.31","0.23","0.74","0.23","0.98","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2012-10-01","SW-817","Edmonton","832.8","38.3","0.46","2.1","6","13","","0.58","4.77","2.98","5.39","6.55","6.61","3.83","2.32","0.2","0.66","0.19","1.05","0.34","3.33","2.25","4.29","5.4","5.6","3.32","2.04","0.21","0.69","0.2","1.09","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2012-10-01","SW-818","Edmonton","826.1","39.6","0.4","1.9","","","","0.35","3.56","2.97","5.48","6.84","6.86","5.43","2.48","0.27","0.8","0.24","0.99","0.21","2.51","2.26","4.4","5.69","5.86","4.74","2.2","0.29","0.84","0.25","1.04","58.1","86.8","135.5","195.3","256.6","315.5","379.7","448.5","537.6","","","",""
"Mixed Sweet Blend","MSW","2012-09-01","SW-713","Edmonton","828.3","39.2","0.47","2","","","","0.49","4.09","3.09","5.24","6.72","7.18","5.82","2.89","0.23","0.71","0.27","0.98","0.3","2.88","2.34","4.2","5.58","6.12","5.07","2.56","0.25","0.75","0.28","1.03","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2012-09-01","SW-917","Edmonton","832.3","38.4","0.39","1.8","4","6","","0.43","3.87","3.16","4.89","6.04","6.3","4.96","2.59","0.21","0.61","0.21","0.81","0.26","2.71","2.39","3.9","4.99","5.35","4.3","2.28","0.22","0.64","0.22","0.84","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2012-08-02","SW-852","Edmonton","834.8","37.8","0.82","2.2","4","9","","0.58","4.61","3.25","5.34","6.62","5.21","5.12","2.38","0.24","0.72","0.23","0.95","0.34","3.22","2.44","4.24","5.45","4.41","4.42","2.09","0.25","0.75","0.24","0.99","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2012-08-02","SW-890","Edmonton","831","38.6","0.42","2.1","","","","0.59","4.86","3.3","5.22","6.33","5.07","5.07","2.33","0.22","0.66","0.24","0.88","0.36","3.41","2.49","4.17","5.23","4.31","4.4","2.06","0.23","0.69","0.25","0.92","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2012-07-03","SW-889","Edmonton","830.2","38.8","0.4","2","5","9","","0.51","4.05","3.05","5.24","6.71","6.99","5.55","2.55","0.23","0.67","0.24","0.95","0.31","2.85","2.31","4.19","5.56","5.95","4.82","2.25","0.24","0.7","0.25","0.99","38.4","81.1","130.8","184.3","242.8","299","354.8","417.3","486.7","591.5","686.3","",""
"Mixed Sweet Blend","MSW","2012-07-02","SW-774","Edmonton","829.5","38.9","0.44","1.9","","","ND","0.45","4.02","3.25","5.49","6.93","6.8","5.17","2.49","0.23","0.76","0.22","0.98","0.27","2.83","2.46","4.39","5.74","5.79","4.5","2.2","0.25","0.8","0.23","1.02","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2012-06-02","SW-642","Edmonton","834.9","37.8","0.46","2","","","","0.28","3.69","2.93","5.34","6.85","6.77","5.28","2.61","0.24","0.8","0.23","1","0.17","2.58","2.2","4.24","5.64","5.73","4.56","2.29","0.25","0.83","0.24","1.04","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2012-06-02","SW-809","Edmonton","829.4","39","0.47","2","5","","","0.56","4.55","3.1","5.51","7","6.96","5.27","2.51","0.25","0.81","0.23","1.01","0.33","3.2","2.35","4.41","5.8","5.93","4.58","2.22","0.27","0.85","0.24","1.06","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2012-05-01","SW-693","Edmonton","828","39.3","0.37","2.1","5","7","","0.62","3.81","3.32","5.3","6.61","6.8","5.53","2.72","0.22","0.62","0.23","0.89","0.37","2.68","2.52","4.25","5.49","5.8","4.82","2.41","0.23","0.65","0.24","0.93","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2012-05-01","SW-865","Edmonton","831.5","38.5","0.39","2.1","","","","0.59","3.95","2.75","4.46","5.67","6.14","5.03","2.39","0.19","0.52","0.23","0.8","0.35","2.77","2.08","3.56","4.69","5.22","4.36","2.11","0.2","0.54","0.24","0.83","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2012-04-02","SW-789","Edmonton","830.6","38.7","0.42","2.1","4","8","","0.48","3.99","3.11","5.13","6.39","6.67","5.2","2.59","0.23","0.71","0.25","0.95","0.29","2.81","2.35","4.1","5.29","5.67","4.52","2.29","0.24","0.74","0.26","0.99","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2012-04-01","SW-842","Edmonton","826.8","39.5","0.43","1.9","","","","0.54","4.04","3.14","5.46","6.88","7.08","5.56","2.82","0.25","0.73","0.25","1.01","0.32","2.85","2.38","4.38","5.72","6.05","4.85","2.5","0.27","0.77","0.26","1.06","37.7","84.2","127.7","174.6","228.6","283.8","337.9","400","465.8","557.7","629","",""
"Mixed Sweet Blend","MSW","2012-03-02","SW-847","Edmonton","822.6","40.4","0.35","1.7","4","8","","0.54","4.21","3.89","6.1","7.34","7.27","5.5","2.78","0.26","0.79","0.24","1.04","0.32","2.98","2.97","4.92","6.14","6.25","4.83","2.48","0.28","0.84","0.25","1.1","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2012-03-01","SW-886","Edmonton","829.7","38.9","0.41","2","","","","0.51","4.21","2.93","5.33","6.87","7.08","5.53","2.85","0.23","0.74","0.24","1.02","0.31","2.96","2.22","4.26","5.69","6.03","4.81","2.52","0.25","0.78","0.25","1.07","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2012-02-02","SW-818","Edmonton","828.4","39.2","0.43","2.2","4","8","","0.38","2.93","2.63","5.21","7.35","8.22","6.82","3.16","0.23","0.74","0.28","1.15","0.23","2.06","2","4.17","6.1","7.01","5.94","2.8","0.25","0.78","0.29","1.2","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2012-02-01","SW-785","Edmonton","828","39.3","0.37","1.7","","","","0.31","2.93","2.33","5.14","7.36","7.99","6.51","3.1","0.22","0.84","0.27","1.22","0.19","2.06","1.77","4.12","6.11","6.81","5.67","2.74","0.23","0.88","0.28","1.28","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2012-01-05","SW-640","Edmonton","827.2","39.4","0.37","1.8","","","ND","0.07","1.95","2.4","5.4","7.32","7.48","5.95","2.68","0.22","0.79","0.24","1.06","0.04","1.38","1.82","4.33","6.08","6.39","5.19","2.38","0.24","0.83","0.25","1.11","37.3","82","123.3","174","233.5","288.9","344.2","405.9","470.6","559.6","626.8","715.1",""
"Mixed Sweet Blend","MSW","2012-01-04","SW-618","Edmonton","830.9","38.7","0.44","2.1","4","9","","0.61","4.27","3.2","5.24","6.49","6.68","5.46","2.41","0.22","0.62","0.23","0.88","0.36","2.99","2.42","4.18","5.37","5.68","4.74","2.13","0.23","0.65","0.24","0.92","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2011-12-25","SW-612","Edmonton","831.2","38.6","0.43","2.2","4","10","","0.56","4.41","3.06","5.44","6.82","6.85","5.43","2.33","0.21","0.71","0.23","0.98","0.33","3.09","2.31","4.34","5.64","5.82","4.71","2.06","0.22","0.74","0.24","1.02","","","","","","","","","","","","",""
