"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Nickel (mg/kg)","Vanadium (mg/kg)","Olefins (wt%)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Mixed Sweet Blend","MSW","2019-12-04","MSW-654","Edmonton","816.8","41.6","0.41","1.6","3.3","7.4","","0.5","4.15","3.69","5.81","6.61","5.28","3.51","","0.21","0.65","0.1","0.99","0.3","2.96","2.84","4.72","5.56","4.56","3.1","-","0.23","0.69","0.11","1.05","35.9","72.1","130.7","179.7","237.3","293.7","353.6","419.3","500.5","628.8","","",""
"Mixed Sweet Blend","MSW","2019-11-06","MSW-844","Edmonton","819.7","41","0.39","1.5","3.6","8.3","","0.52","4.35","3.7","5.81","7.18","4.31","3.36","","0.21","0.67","0.1","0.95","0.31","3.1","2.84","4.7","6.02","3.72","2.96","-","0.23","0.71","0.11","1.01","36.1","76.7","124.5","179.5","235.9","292.7","347.9","409","481.4","598.4","","",""
"Mixed Sweet Blend","MSW","2019-10-09","MSW-894","Edmonton","812.5","42.5","0.43","1.7","4","8.5","","0.42","4.51","4.6","5.61","8.46","5.18","3.46","","0.23","0.78","0.09","1.09","0.26","3.24","3.56","4.58","7.16","4.5","3.07","-","0.25","0.84","0.1","1.16","27.8","68.7","112.7","160.5","216.4","275.1","333.3","400.1","475.5","590.7","707.8","",""
"Mixed Sweet Blend","MSW","2019-09-03","MSW-955","Edmonton","811.1","42.8","0.42","1.3","2.8","6.4","","0.48","3.94","4.55","5.66","8.48","5.61","3.46","","0.24","0.84","0.11","1.21","0.29","2.83","3.52","4.63","7.19","4.88","3.08","-","0.26","0.9","0.12","1.29","36.1","68.7","113.5","165.6","216.3","270.7","328","391.8","464.2","573.6","683.8","",""
"Mixed Sweet Blend","MSW","2019-08-02","MSW-647","Edmonton","811.9","42.6","0.36","1.6","3.4","6.7","ND","0.34","3.85","4.74","5.98","6.96","5.64","3.47","","0.27","0.93","0.1","1.23","0.21","2.76","3.67","4.88","5.89","4.9","3.08","-","0.29","1","0.11","1.31","36.1","68.7","110.4","156","213.8","270.1","328.7","394.7","467.2","580.4","695.2","",""
"Mixed Sweet Blend","MSW","2019-07-07","MSW-781","Edmonton","819.9","40.9","0.34","1.7","3.3","6.4","","0.59","4.05","3.75","4.87","5.71","4.97","3.48","","0.22","0.69","0.11","0.95","0.36","2.88","2.87","3.94","4.78","4.28","3.06","-","0.24","0.73","0.12","1","36.1","76.7","124.1","191.4","248.1","304.3","366.3","434.1","518","664.4","","",""
"Mixed Sweet Blend","MSW","2019-06-03","MSW-789","Edmonton","815.7","41.8","0.31","1.6","3.2","5.3","","0.41","4.78","4.38","6.77","7.87","5.99","4.03","","0.24","0.81","0.11","1.16","0.25","3.42","3.38","5.51","6.64","5.19","3.57","-","0.26","0.87","0.12","1.23","27.8","68.7","110.4","150.8","225.2","282","337","398.5","464.4","560.3","636.9","",""
"Mixed Sweet Blend","MSW","2019-05-10","MSW-608","Edmonton","810.9","42.9","0.31","1.1","2.4","4.2","","0.45","3.72","3.71","5.63","6.5","5.02","3.24","","0.2","0.68","0.17","0.99","0.28","2.67","2.87","4.6","5.51","4.37","2.88","-","0.22","0.73","0.18","1.06","36.1","73.5","117.4","167.6","225.7","281.6","335.3","391.8","460.3","569.9","684.7","",""
"Mixed Sweet Blend","MSW","2019-04-02","MSW-784","Edmonton","818.3","41.3","0.36","1.6","2.6","6.5","","0.38","3.24","3.49","4.79","7.62","5.04","3.41","","0.2","0.7","0.17","1.03","0.23","2.31","2.68","3.88","6.4","4.35","3.01","-","0.22","0.75","0.18","1.09","36.1","82.2","129.6","178","234.4","290.5","346.2","410.2","485.5","604.4","","",""
"Mixed Sweet Blend","MSW","2019-03-03","MSW-906","Edmonton","824.4","40","0.36","1.9","3.9","7.1","","0.62","3.78","3.48","5.43","6.39","4.98","3.65","","0.19","0.59","0.11","0.89","0.37","2.67","2.65","4.37","5.33","4.27","3.19","-","0.2","0.62","0.12","0.94","36.1","84.1","125.7","193.4","249.5","304.1","361.4","423.9","505.6","636.5","","",""
"Mixed Sweet Blend","MSW","2019-02-05","MSW-613","Edmonton","819.5","41","0.38","1.6","3.3","7.2","","0.57","4.11","4.09","6.23","7.24","5.42","3.53","","0.22","0.75","0.18","1.07","0.34","2.92","3.14","5.04","6.07","4.67","3.11","-","0.24","0.8","0.19","1.13","36.1","76.7","118","164.1","220.9","276.5","331.2","394.1","462.6","565.1","662.4","",""
"Mixed Sweet Blend","MSW","2019-01-02","MSW-658","Edmonton","821.8","40.5","0.31","1.6","2.2","4.2","","0.49","3.8","3.46","5.61","6.53","4.89","3.29","","0.2","0.64","0.18","0.95","0.3","2.69","2.64","4.53","5.46","4.2","2.89","-","0.21","0.68","0.19","1","36.1","84.1","125.7","194.1","251.3","306.8","365.2","427.4","506.7","637.5","","",""
"Mixed Sweet Blend","MSW","2018-12-30","MSW-607","Edmonton","822.1","40.5","0.39","1.7","3.1","5.7","","0.49","4.06","3.61","5.63","6.43","4.89","3.28","","0.2","0.64","0.19","0.94","0.3","2.88","2.76","4.54","5.38","4.2","2.88","-","0.21","0.68","0.2","0.99","36.1","80.9","125.7","194.9","252.1","308.1","366.4","429.4","510.6","647.4","","",""
"Mixed Sweet Blend","MSW","2018-11-11","MSW-982","Edmonton","822","40.5","0.37","1.7","3.2","5.9","","0.55","3.75","3.39","5.5","7.06","4.54","3.46","","0.19","0.59","0.19","0.95","0.33","2.66","2.59","4.44","5.9","3.9","3.04","-","0.2","0.63","0.2","1","36.1","84.1","125.7","190","244.6","298","351.7","411","481.1","585.3","679","",""
"Mixed Sweet Blend","MSW","2018-10-08","MSW-708","Edmonton","821.4","40.6","0.4","1.8","3.8","7.1","","0.57","3.99","3.67","5.56","7.03","4.47","3.44","","0.19","0.62","0.18","0.96","0.34","2.83","2.81","4.49","5.88","3.84","3.02","-","0.2","0.66","0.19","1.01","36.1","84.8","136.1","184.5","239.9","294.1","348.6","409.5","477.6","579.7","667.3","",""
"Mixed Sweet Blend","MSW","2018-09-07","MSW-834","Edmonton","824.1","40.1","0.37","1.8","3.5","6.5","ND","0.46","3.92","3.12","5.29","6.86","4.25","3.37","","0.18","0.61","0.17","0.96","0.28","2.77","2.38","4.26","5.72","3.64","2.95","-","0.19","0.64","0.18","1.01","36.1","84.1","136.9","193.3","251.8","305.8","363.4","424.9","496.3","607.4","716.3","",""
"Mixed Sweet Blend","MSW","2018-08-06","MSW-635","Edmonton","817.8","41.4","0.39","1.6","5.5","7.6","","0.44","4.48","4.09","6.04","7.05","5.08","3.41","","0.2","0.74","0.16","1.07","0.27","3.19","3.14","4.9","5.92","4.39","3.01","-","0.22","0.79","0.17","1.13","36.1","68.7","123.9","166.5","221.2","274.1","326.6","386.8","451.8","540.5","607","691.1",""
"Mixed Sweet Blend","MSW","2018-07-09","MSW-905","Edmonton","815.6","41.8","0.39","1.7","3.4","6.3","","0.58","5.05","5.39","7.94","9.14","6.42","4.94","","0.28","0.95","0.22","1.08","0.35","3.61","4.15","6.46","7.71","5.56","4.37","-","0.3","1.02","0.24","1.15","27.8","66.9","115.2","160.1","216.4","269.5","323.9","384.3","451.2","546.4","620.1","",""
"Mixed Sweet Blend","MSW","2018-06-07","MSW-964","Edmonton","821.9","40.5","0.44","1.8","4","8.2","","0.46","4.5","4.3","6.36","7.29","5.42","3.59","","0.22","0.78","0.19","1.11","0.28","3.19","3.29","5.13","6.09","4.66","3.15","-","0.24","0.83","0.2","1.17","36.1","68.7","117.7","185.4","246.1","301.5","359.2","421.5","502.1","623.9","","",""
"Mixed Sweet Blend","MSW","2018-05-03","MSW-758","Edmonton","820.9","40.7","0.31","1.5","2.7","5.3","","0.57","4.49","3.47","5.78","7.07","5.06","3.69","","0.21","0.76","0.1","1.07","0.34","3.19","2.66","4.67","5.92","4.35","3.24","-","0.23","0.81","0.11","1.13","36.1","76.7","124.1","184.1","242.4","299.3","355.3","417","493.6","609.7","","",""
"Mixed Sweet Blend","MSW","2018-04-05","MSW-680","Edmonton","815.8","41.8","0.43","1.5","3.2","7.1","","0.73","6.27","5.42","8.25","9.46","7.07","5.11","","0.32","1.03","0.25","1.42","0.44","4.48","4.17","6.71","7.97","6.12","4.52","-","0.35","1.1","0.27","1.51","27.8","60.3","99.2","125.7","232.5","290.9","349.2","415","493.5","619","","",""
"Mixed Sweet Blend","MSW","2018-03-07","MSW-681","Edmonton","823.9","40.1","0.44","1.9","3.7","7.8","","0.55","4.82","3.48","5.49","6.38","4.96","3.65","","0.19","0.61","0.18","0.94","0.33","3.41","2.65","4.42","5.32","4.25","3.19","-","0.2","0.64","0.19","0.99","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2018-02-08","MSW-634","Edmonton","821.2","40.7","0.4","1.7","4.1","8.5","","0.5","4.72","3.93","5.82","6.55","5.88","2.48","","0.2","0.7","0.16","0.98","0.3","3.35","3.01","4.7","5.48","5.06","2.18","-","0.22","0.74","0.17","1.03","36.1","76.7","131.2","192.6","249.9","303.4","362","425.6","509","641","","",""
"Mixed Sweet Blend","MSW","2018-01-29","MSW-715","Edmonton","817.4","41.5","0.45","1.8","3.9","8.4","","0.5","4.6","3.6","5.88","6.94","5.76","4.15","","0.22","0.75","0.21","1.1","0.3","3.28","2.77","4.77","5.84","4.98","3.66","-","0.24","0.8","0.22","1.17","35.3","69","107.9","163.1","217.6","273.4","330.6","394.5","463.9","563.9","642.8","",""
"Mixed Sweet Blend","MSW","2017-12-02","MSW-667","Edmonton","820.8","40.8","0.42","1.8","3.7","8.7","","0.57","4.06","4.06","6.14","7.13","5.18","3.77","","0.23","0.79","0.18","1.08","0.34","2.88","3.11","4.96","5.97","4.46","3.31","-","0.25","0.84","0.19","1.14","36.1","76.7","124.6","175.3","233.8","292.2","350.8","417","495","609.7","712.4","",""
"Mixed Sweet Blend","MSW","2017-11-01","MSW-972","Edmonton","811.3","42.8","0.4","2.1","3","6.2","","0.5","5.45","4.84","6.7","6.85","5.52","3.89","","0.23","0.85","0.15","1.18","0.3","3.91","3.75","5.48","5.8","4.81","3.46","-","0.25","0.91","0.16","1.26","27.8","63.3","103.5","167.4","224.6","283","341.9","405.8","480.8","581.9","664.8","",""
