"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Peace","MPR","2019-11-02","MPR-048","Edmonton","800.9","45","0.31","0.9","1.3","4","0.62","3.74","4.65","7.4","8.54","8.66","6.55","3.31","0.28","0.86","0.21","1.31","0.38","2.72","3.65","6.13","7.33","7.63","5.9","3.03","0.31","0.93","0.23","1.42","34.7","78.5","106.1","146.1","188.1","240.4","298.6","362.7","439.5","550.5","649.4","",""
"Peace","MPR","2019-10-01","MPR-006","Edmonton","804.3","44.3","0.45","1.1","2.6","7.7","0.63","4.36","4.52","7.35","8.51","8.81","6.67","3.49","0.29","0.93","0.23","1.39","0.38","3.16","3.53","6.06","7.27","7.74","5.98","3.18","0.32","1.01","0.25","1.5","","","","","","","","","","","","",""
"Peace","MPR","2019-09-02","MPR-964","Edmonton","803.7","44.4","0.45","1.1","2.7","8.1","0.49","4.3","4.32","6.93","7.87","7.93","6.11","2.86","0.27","0.89","0.22","1.26","0.3","3.12","3.38","5.72","6.73","6.97","5.49","2.61","0.3","0.97","0.24","1.36","","","","","","","","","","","","",""
"Peace","MPR","2019-08-02","MPR-921","Edmonton","802.7","44.6","0.42","1","2.5","6.8","0.53","4.2","4.58","7.34","8.23","8.36","6.47","3.29","0.28","0.94","0.22","1.35","0.33","3.05","3.59","6.07","7.05","7.36","5.82","3.01","0.31","1.02","0.24","1.46","42.2","86.9","124.7","163.7","210.3","265.4","324.2","391.2","470.9","601","","",""
"Peace","MPR","2019-07-02","MPR-874","Edmonton","802.4","44.7","0.43","1","3","8.1","0.64","3.84","5.7","8.49","9.29","9.29","6.64","3.24","0.33","1.09","0.24","1.6","0.39","2.79","4.47","7.02","7.96","8.18","5.97","2.96","0.36","1.18","0.26","1.73","","","","","","","","","","","","",""
"Peace","MPR","2019-06-05","MPR-836","Edmonton","807","43.7","0.37","1","2","5","0.66","4.1","4.34","6.84","7.63","7.85","6.31","3.15","0.26","0.86","0.23","1.22","0.4","2.96","3.38","5.62","6.5","6.87","5.64","2.86","0.28","0.93","0.25","1.31","","","","","","","","","","","","",""
"Peace","MPR","2019-05-01","MPR-782","Edmonton","808","43.5","0.41","1","2.6","6.8","0.59","3.8","4.38","7.06","8.04","8.45","6.69","3.74","0.28","0.92","0.25","1.35","0.36","2.74","3.41","5.79","6.84","7.38","5.97","3.39","0.31","0.99","0.27","1.45","44.5","73.7","116.6","162","210.8","265.8","324.5","392.3","471.4","597.9","","",""
"Peace","MPR","2019-04-02","MPR-743","Edmonton","807.4","43.6","0.41","1.2","2.2","7.5","0.59","3.91","4.02","6.91","8.25","8.5","6.63","3.78","0.28","0.99","0.25","1.41","0.36","2.82","3.13","5.68","7.02","7.44","5.92","3.43","0.31","1.07","0.27","1.51","","","","","","","","","","","","",""
"Peace","MPR","2019-03-01","MPR-710","Edmonton","810.5","42.9","0.29","1.1","1.6","3.4","0.59","2.56","3.67","5.95","6.9","7.08","6.06","4.08","0.25","0.8","0.23","1.13","0.36","1.84","2.85","4.87","5.85","6.17","5.39","3.69","0.27","0.86","0.25","1.21","","","","","","","","","","","","",""
"Peace","MPR","2019-02-01","MPR-677","Edmonton","809.9","43.1","0.39","1.2","2","5.9","0.69","3.9","4.24","7","7.85","8.09","6.25","3.4","0.29","0.92","0.26","1.3","0.42","2.81","3.29","5.73","6.66","7.05","5.56","3.08","0.32","0.99","0.28","1.39","35.5","74","114","158.1","202.7","257.8","313.6","375.2","445.2","542.5","631.7","",""
"Peace","MPR","2019-01-01","MPR-642","Edmonton","811.1","42.8","0.42","1.2","1.9","5.4","0.61","3.62","3.95","6.39","7.16","7.36","6.42","3.61","0.28","0.83","0.24","1.17","0.37","2.6","3.06","5.23","6.07","6.41","5.71","3.26","0.31","0.89","0.26","1.25","","","","","","","","","","","","",""
"Peace","MPR","2018-12-02","MPR-611","Edmonton","811.4","42.7","0.4","1.2","1.9","5.2","0.66","4.01","4","6.53","7.25","7.6","6.4","3.08","0.27","0.8","0.25","1.18","0.4","2.88","3.1","5.34","6.14","6.62","5.69","2.78","0.29","0.86","0.27","1.26","","","","","","","","","","","","",""
"Peace","MPR","2018-11-02","MPR-589","Edmonton","811.4","42.7","0.47","1.3","2.9","7.2","0.65","4.12","3.88","6.54","7.52","7.74","6.1","3.26","0.29","0.89","0.25","1.26","0.39","2.96","3.01","5.35","6.37","6.74","5.42","2.95","0.32","0.96","0.27","1.35","54","92.4","133.2","173.5","222","275.8","330.4","391.9","462.4","567.9","663.2","",""
"Peace","MPR","2018-10-02","MPR-825","Edmonton","810.9","42.9","0.45","1.3","2.6","7","0.65","3.79","3.78","6.33","7.17","7.36","6","2.78","0.28","0.86","0.22","1.21","0.39","2.72","2.93","5.18","6.08","6.41","5.33","2.51","0.31","0.92","0.24","1.29","","","","","","","","","","","","",""
"Peace","MPR","2018-09-03","MPR-796","Edmonton","811.2","42.8","0.41","1.2","1.9","4.8","0.56","3.75","3.47","6.03","7.03","7.37","5.71","3.04","0.27","0.81","0.23","1.19","0.34","2.69","2.69","4.93","5.96","6.42","5.08","2.75","0.29","0.87","0.25","1.27","","","","","","","","","","","","",""
