"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Sediment (ppmw)","TAN (mgKOH/g)","Salt (ptb)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Bow River North","BRN","2019-12-04","BRN-189","Hardisty","921.5","21.9","2.76","10.3","","0.81","","43","97.3","0.19","3.35","5.01","4.14","3.07","2.75","2.2","1.14","0.08","0.2","0.07","0.26","0.1","2.12","3.42","2.98","2.29","2.11","1.72","0.91","0.08","0.19","0.07","0.24","","","","","","","","","","","","",""
"Bow River North","BRN","2019-11-04","BRN-225","Hardisty","927.6","20.9","2.79","10.9","","0.82","","44.8","99.7","0.23","3.44","4.1","3.72","2.7","2.52","1.98","0.97","0.07","0.15","0.07","0.2","0.12","2.16","2.78","2.66","2","1.92","1.54","0.77","0.07","0.14","0.07","0.19","","","","","","","","","","","","",""
"Bow River North","BRN","2019-10-02","BRN-937","Hardisty","928.6","20.8","3.05","9.9","374.5","0.87","14.6","44.7","108","0.14","2.44","3.09","2.55","1.97","1.83","1.53","0.75","0.04","0.1","0.04","0.14","0.07","1.53","2.09","1.82","1.46","1.39","1.19","0.59","0.04","0.09","0.04","0.13","45.5","133","257.5","337.2","407.3","468.4","534.1","612.3","708.9","","","",""
"Bow River North","BRN","2019-09-05","BRN-121","Hardisty","929.3","20.6","2.87","10.7","","1.08","","51.2","103","0.2","3.05","3.91","3.71","2.87","2.58","1.95","0.99","0.08","0.2","0.06","0.25","0.1","1.91","2.64","2.65","2.12","1.96","1.51","0.78","0.08","0.19","0.06","0.23","","","","","","","","","","","","",""
"Bow River North","BRN","2019-08-03","BRN-022","Hardisty","928.6","20.8","2.83","11.2","","0.89","","41.3","99.4","0.23","3.36","4.05","3.85","3.03","2.8","2.11","1.01","0.07","0.19","0.07","0.24","0.12","2.11","2.74","2.75","2.24","2.13","1.64","0.8","0.07","0.18","0.07","0.22","","","","","","","","","","","","",""
"Bow River North","BRN","2019-07-02","BRN-197","Hardisty","926.3","21.1","3.31","10.2","213.1","1.08","11.9","51.6","123","0.14","2.03","4.59","3.34","2.33","2.01","1.49","0.71","0.07","0.15","0.04","0.2","0.07","1.28","3.11","2.39","1.73","1.53","1.16","0.56","0.07","0.14","0.04","0.19","37.5","98.3","247.3","336.2","409.7","473.2","541.8","619.5","706.3","","","",""
"Bow River North","BRN","2019-06-02","BRN-158","Hardisty","929.3","20.6","3.01","11.6","","0.89","","50.9","107","0.11","2.58","6.1","4.83","3.27","2.72","1.96","0.98","0.12","0.26","0.07","0.26","0.06","1.62","4.12","3.45","2.42","2.07","1.52","0.77","0.11","0.24","0.07","0.24","","","","","","","","","","","","",""
"Bow River North","BRN","2019-05-06","BRN-092","Hardisty","922","21.8","3.1","10.2","","0.9","","46.2","107","0.14","3.09","5.08","3.92","3.08","2.79","2.11","1.06","0.09","0.22","0.08","0.28","0.07","1.95","3.46","2.82","2.3","2.14","1.65","0.84","0.09","0.21","0.08","0.26","","","","","","","","","","","","",""
"Bow River North","BRN","2019-04-03","BRN-179","Hardisty","922.6","21.7","3.17","10.2","316.3","1.06","14.6","47.4","115","0.16","2.8","5.04","3.87","2.91","2.59","1.7","0.94","0.09","0.22","0.07","0.29","0.08","1.77","3.43","2.78","2.17","1.98","1.33","0.75","0.09","0.21","0.07","0.27","44.6","110.7","253.7","341.8","413","473.2","538.8","615.2","708.4","","","",""
"Bow River North","BRN","2019-03-01","BRN-505","Hardisty","924.3","21.5","3.07","10.3","","0.86","","47.1","105","0.11","2.6","4.9","4","2.99","2.73","2.06","1.11","0.09","0.22","0.08","0.31","0.06","1.64","3.33","2.87","2.22","2.09","1.61","0.88","0.09","0.21","0.08","0.29","","","","","","","","","","","","",""
"Bow River North","BRN","2019-02-04","BRN-184","Hardisty","922.2","21.8","3.07","9.8","","0.93","","63.9","135","0.16","2.52","3.72","3.35","2.82","2.69","2.11","1.11","0.08","0.2","0.08","0.3","0.08","1.59","2.53","2.41","2.1","2.06","1.65","0.88","0.08","0.19","0.08","0.28","","","","","","","","","","","","",""
"Bow River North","BRN","2019-01-07","BRN-244","Hardisty","923.6","21.6","2.92","10.7","322.1","0.9","12.1","46.4","104","0.21","3.63","4.3","4.02","3","2.75","2.19","1.16","0.11","0.24","0.08","0.34","0.11","2.29","2.93","2.89","2.23","2.1","1.71","0.92","0.11","0.23","0.08","0.32","42.3","126.3","253.5","341.7","413.3","471.8","532.7","600.9","690.3","","","",""
