"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Sediment (ppmw)","TAN (mgKOH/g)","Salt (ptb)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Surmont Mix A","SMA","2019-11-02","SMA-084","Edmonton","931.3","20.3","3.45","8.9","","1.43","","44.2","142","0.02","0.92","5.5","3.86","2.56","2.11","1.88","1.17","0.11","0.21","0.05","0.26","0.01","0.58","3.71","2.75","1.89","1.6","1.46","0.92","0.1","0.2","0.05","0.24","","","","","","","","","","","","",""
"Surmont Mix A","SMA","2019-10-02","SMA-074","Edmonton","935.1","19.7","3.53","8.8","","1.51","","55","149","0.04","0.91","4.44","3.38","2.23","2.04","1.85","1.12","0.08","0.14","0.04","0.17","0.02","0.57","2.98","2.4","1.64","1.54","1.43","0.88","0.08","0.13","0.04","0.16","","","","","","","","","","","","",""
"Surmont Mix A","SMA","2019-09-02","SMA-356","Edmonton","927.3","21","3.39","8.4","127.7","1.43","2.7","47","141","0.02","0.68","3.77","2.71","1.89","1.79","2.48","2.19","0.06","0.12","0.04","0.18","0.01","0.43","2.55","1.94","1.4","1.36","1.93","1.73","0.06","0.11","0.04","0.17","66.7","155.2","231.5","311.6","373.1","432","504","598","704.3","","","",""
"Surmont Mix A","SMA","2019-08-04","SMA-253","Edmonton","935.9","19.6","3.52","9","","1.77","","64.5","154","0.02","0.89","4.15","2.98","2.08","1.88","1.62","1.08","0.07","0.16","0.04","0.23","0.01","0.55","2.78","2.11","1.53","1.42","1.25","0.85","0.07","0.15","0.04","0.21","","","","","","","","","","","","",""
"Surmont Mix A","SMA","2019-07-01","SMA-159","Edmonton","930.3","20.5","3.36","8.3","","1.45","","50.6","143","0.02","0.76","3.27","2.44","1.83","1.78","1.95","1.61","0.06","0.17","0.05","0.25","0.01","0.48","2.21","1.74","1.35","1.35","1.51","1.27","0.06","0.16","0.05","0.23","","","","","","","","","","","","",""
"Surmont Mix A","SMA","2019-06-17","SMA-096","Edmonton","933.7","19.9","3.42","8.6","47.4","1.5","3.8","56.7","150","0.04","0.91","4.34","3.11","2.24","2.14","1.98","1.15","0.07","0.17","0.04","0.23","0.02","0.57","2.92","2.21","1.65","1.62","1.53","0.9","0.07","0.16","0.04","0.21","95.3","176.2","269.2","329.2","382.6","435.5","502.8","598.6","706.8","","","",""
"Surmont Mix A","SMA","2019-05-02","SMA-354","Edmonton","927.3","21","3.25","8","","1.46","","49.3","133","0.04","1.05","4.73","3.21","2.31","2.27","2.19","1.45","0.09","0.19","0.06","0.28","0.02","0.66","3.2","2.3","1.71","1.73","1.7","1.15","0.09","0.18","0.06","0.26","","","","","","","","","","","","",""
"Surmont Mix A","SMA","2019-04-02","SMA-038","Edmonton","926.4","21.1","3.24","8.2","","1.44","","52.4","166","0.04","1.11","4.71","3.44","2.43","2.27","1.82","1.19","0.13","0.23","0.06","0.29","0.02","0.7","3.19","2.46","1.8","1.73","1.42","0.94","0.12","0.22","0.06","0.27","","","","","","","","","","","","",""
"Surmont Mix A","SMA","2019-03-01","SMA-594","Edmonton","926.6","21.1","3.11","7.6","106.6","1.32","3.8","47.7","131","0.04","0.88","4.29","3.24","2.33","2.37","2.56","1.91","0.09","0.21","0.07","0.32","0.02","0.56","2.91","2.32","1.73","1.81","1.99","1.51","0.09","0.2","0.07","0.3","85","158.1","244.1","312.8","367.3","422.6","492.9","595","711.9","","","",""
"Surmont Mix A","SMA","2019-02-02","SMA-076","Edmonton","925.7","21.2","3.19","8","","1.23","","53.8","155","0.04","0.94","4","3.14","2.34","2.29","1.89","1.25","0.1","0.22","0.06","0.31","0.02","0.59","2.71","2.25","1.74","1.75","1.47","0.99","0.1","0.21","0.06","0.29","","","","","","","","","","","","",""
"Surmont Mix A","SMA","2019-01-01","SMA-000","Edmonton","924.5","21.4","3.11","7.8","","1.43","","43.9","127","0.04","1.08","3.89","3.04","2.27","2.22","2.31","1.6","0.1","0.22","0.06","0.31","0.02","0.68","2.64","2.18","1.69","1.7","1.8","1.27","0.1","0.21","0.06","0.29","","","","","","","","","","","","",""
"Surmont Mix A","SMA","2018-12-02","SMA-160","Edmonton","928.8","20.7","3.16","8","144.9","1.4","4.1","52.1","132","0.06","1.05","3.04","2.86","2.39","2.45","2.36","1.37","0.09","0.25","0.07","0.35","0.03","0.66","2.06","2.04","1.77","1.86","1.83","1.08","0.09","0.23","0.07","0.33","94","164.8","253.6","315.1","367.5","420.2","476.7","564.8","682.2","","","",""
"Surmont Mix A","SMA","2018-11-12","SMA-140","Edmonton","932","20.2","3.22","7.9","","1.45","","50.4","138","0.04","0.88","2.91","2.49","1.9","1.85","1.83","1.07","0.08","0.19","0.05","0.27","0.02","0.55","1.96","1.77","1.4","1.4","1.42","0.84","0.08","0.18","0.05","0.25","","","","","","","","","","","","",""
"Surmont Mix A","SMA","2018-11-02","SMA-047","Edmonton","932.9","20.1","3.21","8","78","1.45","4.4","48.6","132","0.06","0.93","2.94","2.63","2.17","2.23","2.12","1.18","0.08","0.21","0.06","0.31","0.03","0.58","1.98","1.87","1.6","1.69","1.64","0.93","0.08","0.2","0.06","0.29","100.3","174.1","263.3","323.4","375.7","428","487.1","578.2","690.7","","","",""
"Surmont Mix A","SMA","2018-10-20","SMA-001","Edmonton","935","19.7","3.43","8.2","","1.55","","50.2","134","0.09","0.96","3.53","3.03","2.39","2.45","1.76","0.82","0.1","0.23","0.08","0.33","0.04","0.6","2.37","2.15","1.76","1.85","1.36","0.64","0.09","0.21","0.07","0.31","","","","","","","","","","","","",""
"Surmont Mix A","SMA","2018-10-09","SMA-076","Edmonton","929.5","20.6","3.34","8.2","115.1","1.44","3.8","53.5","136","0.04","0.82","3.12","2.73","2.16","2.28","2.64","2.12","0.09","0.21","0.07","0.32","0.02","0.52","2.11","1.95","1.6","1.73","2.05","1.67","0.09","0.2","0.07","0.3","97.9","166.3","239","304.8","359.7","415.4","476.9","567","674.3","","","",""
