"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Sediment (ppmw)","TAN (mgKOH/g)","Salt (ptb)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Christina Dilbit Blend","CDB","2020-02-01","CDB-063","Hardisty","918","22.5","3.96","10.3","","1.6","","64.4","164","0.08","1.59","10.79","6.55","3.42","2.07","1.2","0.5","0.17","0.21","0.02","0.17","0.04","1.01","7.38","4.73","2.56","1.59","0.94","0.4","0.16","0.2","0.02","0.16","","","","","","","","","","","","",""
"Christina Dilbit Blend","CDB","2020-01-13","CDB-496","Hardisty","918.4","22.4","3.81","10.1","92.7","1.5","2.3","60","157","0.12","2.03","8.96","5.81","3.53","2.46","1.53","0.68","0.17","0.3","0.03","0.31","0.06","1.29","6.13","4.2","2.64","1.89","1.2","0.54","0.16","0.28","0.03","0.29","40.6","90.1","221.6","325.2","397.6","462.9","537","621.9","708.7","","","",""
"Christina Dilbit Blend","CDB","2019-12-01","CDB-425","Hardisty","918.5","22.4","3.79","10.2","","1.46","","64.1","163","0.1","2.05","9.03","5.84","3.61","2.33","1.39","0.74","0.19","0.32","0.03","0.28","0.05","1.3","6.18","4.22","2.7","1.79","1.09","0.59","0.18","0.3","0.03","0.26","","","","","","","","","","","","",""
"Christina Dilbit Blend","CDB","2019-11-02","CDB-051","Hardisty","924.1","21.5","3.88","10.3","","1.62","","59","162","0.07","1.27","7.66","4.75","2.74","1.66","0.91","0.44","0.15","0.19","0.02","0.16","0.03","0.8","5.21","3.41","2.04","1.27","0.71","0.35","0.14","0.18","0.02","0.15","","","","","","","","","","","","",""
"Christina Dilbit Blend","CDB","2019-10-01","CDB-458","Hardisty","927.5","20.9","3.95","10.5","99.5","1.59","4.9","61.6","165","0.08","1.35","7.5","4.8","2.79","1.84","1.12","0.58","0.13","0.2","0.02","0.18","0.04","0.85","5.08","3.43","2.07","1.4","0.87","0.46","0.12","0.19","0.02","0.17","37.5","76.6","218.2","328.9","401.8","467.8","542.2","627.3","711.7","","","",""
"Christina Dilbit Blend","CDB","2019-09-02","CDB-449","Hardisty","933","20","3.93","10.2","","1.74","","71.7","174","0.04","0.82","5.51","3.52","2.21","1.49","0.88","0.47","0.11","0.18","0.02","0.16","0.02","0.51","3.71","2.5","1.63","1.13","0.68","0.37","0.1","0.17","0.02","0.15","","","","","","","","","","","","",""
"Christina Dilbit Blend","CDB","2019-08-01","CDB-850","Hardisty","930.1","20.5","3.97","10.7","","1.72","","57.8","168","0.04","1","8.39","5.45","3.48","2.4","1.29","0.66","0.17","0.3","0.03","0.3","0.02","0.63","5.66","3.89","2.57","1.82","1","0.52","0.16","0.28","0.03","0.28","","","","","","","","","","","","",""
"Christina Dilbit Blend","CDB","2019-07-02","CDB-312","Hardisty","928.2","20.8","3.9","10.6","57","1.64","4.9","68","173","0.07","0.88","6.13","3.86","2.42","1.68","0.95","0.47","0.12","0.21","0.02","0.21","0.03","0.55","4.15","2.76","1.79","1.28","0.74","0.37","0.11","0.2","0.02","0.2","37.3","72.9","232.4","332.2","404","468.7","543.4","628.4","710.5","","","",""
"Christina Dilbit Blend","CDB","2019-06-01","CDB-028","Hardisty","924.1","21.5","3.9","10.4","","1.69","","66.2","171","0.08","0.93","7.07","4.51","2.81","1.87","1.04","0.52","0.15","0.27","0.03","0.25","0.04","0.59","4.81","3.24","2.09","1.43","0.81","0.41","0.14","0.25","0.03","0.23","","","","","","","","","","","","",""
"Christina Dilbit Blend","CDB","2019-05-02","CDB-315","Hardisty","919.7","22.2","3.88","10.3","","1.66","","64.4","166","0.05","1.15","10.05","5.86","3.56","2.29","1.24","0.61","0.19","0.32","0.04","0.29","0.03","0.73","6.86","4.22","2.66","1.76","0.97","0.49","0.18","0.3","0.04","0.27","","","","","","","","","","","","",""
"Christina Dilbit Blend","CDB","2019-04-01","CDB-116","Hardisty","919.3","22.3","3.81","9.9","77.1","1.73","4.9","61.3","178","0.08","1.14","9.23","5.7","3.6","2.49","1.17","0.65","0.2","0.35","0.04","0.34","0.04","0.72","6.31","4.11","2.69","1.91","0.92","0.52","0.19","0.33","0.04","0.32","36.2","58.7","201.2","316.5","390.1","455.4","533.5","620.6","705.8","","","",""
"Christina Dilbit Blend","CDB","2019-03-01","CDB-278","Hardisty","917.3","22.6","3.82","10.2","","1.64","","67.5","175","0.08","1.17","10.05","6.31","3.84","2.61","1.36","0.69","0.2","0.36","0.04","0.35","0.04","0.75","6.88","4.56","2.88","2.01","1.07","0.55","0.19","0.34","0.04","0.33","","","","","","","","","","","","",""
"Christina Dilbit Blend","CDB","2019-02-01","CDB-277","Hardisty","918.2","22.5","3.88","10.1","","1.68","","58","134","0.05","0.99","8.39","5.62","3.69","2.53","1.31","0.65","0.2","0.38","0.05","0.37","0.03","0.63","5.74","4.06","2.76","1.95","1.03","0.52","0.19","0.36","0.05","0.35","","","","","","","","","","","","",""
"Christina Dilbit Blend","CDB","2019-01-01","CDB-164","Hardisty","917.3","22.6","3.74","9.9","48.5","1.61","4.4","56.7","159","0.1","1.24","8.69","5.75","3.79","2.68","1.59","0.73","0.2","0.38","0.04","0.39","0.05","0.79","5.95","4.16","2.84","2.06","1.25","0.58","0.19","0.36","0.04","0.37","37.4","65.3","183.6","310.5","386.6","455","532.9","622.3","714.4","","","",""
"Christina Dilbit Blend","CDB","2018-12-03","CDB-255","Hardisty","921.6","21.9","3.75","10.2","","1.61","","65.5","161","0.14","1.64","7.69","5.65","3.96","2.97","1.76","0.78","0.2","0.42","0.05","0.46","0.07","1.04","5.24","4.07","2.95","2.28","1.38","0.62","0.19","0.4","0.05","0.43","","","","","","","","","","","","",""
"Christina Dilbit Blend","CDB","2018-11-01","CDB-308","Hardisty","925.7","21.2","3.8","10.2","","1.67","","62.2","171","0.1","0.86","5.47","3.95","2.73","2.04","1.04","0.54","0.14","0.29","0.04","0.31","0.05","0.54","3.71","2.83","2.03","1.56","0.81","0.43","0.13","0.27","0.04","0.29","","","","","","","","","","","","",""
"Christina Dilbit Blend","CDB","2018-10-01","CDB-596","Hardisty","929.4","20.6","3.9","10.7","67.8","1.79","5.4","61.9","167","0.07","0.78","5.78","4.03","2.76","1.97","1.07","0.61","0.14","0.29","0.03","0.31","0.04","0.49","3.91","2.88","2.04","1.5","0.83","0.48","0.13","0.27","0.03","0.29","43.6","95.4","257.1","343","411.9","475.6","550.9","634.1","714.3","","","",""
"Christina Dilbit Blend","CDB","2018-09-01","CDB-583","Hardisty","931.7","20.2","4.07","10.4","","1.77","","70.2","177","0.09","0.86","6.63","4.44","2.91","2","1.03","0.5","0.16","0.33","0.04","0.31","0.04","0.54","4.47","3.16","2.15","1.52","0.8","0.39","0.15","0.31","0.04","0.29","","","","","","","","","","","","",""
"Christina Dilbit Blend","CDB","2018-08-02","CDB-118","Hardisty","927.7","20.9","3.89","10.5","","1.74","","83","218","0.07","1.05","8.2","5.5","3.45","2.36","1.36","0.81","0.19","0.36","0.04","0.35","0.04","0.66","5.55","3.93","2.56","1.8","1.06","0.64","0.18","0.34","0.04","0.33","","","","","","","","","","","","",""
"Christina Dilbit Blend","CDB","2018-07-01","CDB-523","Hardisty","927.6","20.9","3.94","10.4","86.7","1.69","5","62.8","161","0.1","1.14","7.74","5.27","3.6","2.69","1.59","0.76","0.15","0.27","0.03","0.26","0.05","0.72","5.24","3.77","2.67","2.05","1.24","0.6","0.14","0.25","0.03","0.24","43","95.2","247.9","338.7","409.6","473.8","548.5","632.7","714","","","",""
"Christina Dilbit Blend","CDB","2018-06-02","CDB-490","Hardisty","922.6","21.7","3.91","10.3","","1.69","","59","165","0.08","0.97","8.45","5.17","3.18","2.29","1.38","0.67","0.15","0.21","0.03","0.2","0.04","0.61","5.75","3.72","2.37","1.75","1.08","0.53","0.14","0.2","0.03","0.19","","","","","","","","","","","","",""
"Christina Dilbit Blend","CDB","2018-05-02","CDB-008","Hardisty","917.8","22.5","3.92","10.4","","1.69","","57.1","167","0.1","1.08","9.79","5.96","3.5","2.27","1.26","0.63","0.18","0.28","0.03","0.25","0.05","0.69","6.7","4.31","2.62","1.75","0.99","0.5","0.17","0.27","0.03","0.24","","","","","","","","","","","","",""
"Christina Dilbit Blend","CDB","2018-04-01","CDB-320","Hardisty","915.7","22.9","3.77","10.1","78.6","1.62","4.8","60.3","163","0.1","1.13","10.56","6.32","3.73","2.46","1.35","0.72","0.22","0.37","0.04","0.36","0.05","0.72","7.24","4.58","2.8","1.9","1.06","0.58","0.21","0.35","0.04","0.34","36","47.9","168.1","312.7","391.6","461","541","629.6","709.9","","","",""
